DATE,EU28SLRTCR03GPSAM
1970-02-01,9.21052631578946
1970-03-01,-2.20883534136545
1970-04-01,5.5441478439425
1970-05-01,-2.33463035019456
1970-06-01,4.9800796812749
1970-07-01,-4.93358633776092
1970-08-01,0.199600798403204
1970-09-01,-0.597609561752979
1970-10-01,-3.60721442885774
1970-11-01,4.7817047817048
1970-12-01,1.3888888888889
1971-01-01,8.21917808219177
1971-02-01,-9.04159132007234
1971-03-01,2.38568588469183
1971-04-01,4.2718446601942
1971-05-01,5.02793296089385
1971-06-01,-8.86524822695035
1971-07-01,7.19844357976656
1971-08-01,0.0
1971-09-01,2.17785843920145
1971-10-01,3.73001776198934
1971-11-01,2.22602739726027
1971-12-01,8.04020100502512
1972-01-01,0.465116279069791
1972-02-01,-6.32716049382716
1972-03-01,3.62438220757826
1972-04-01,7.15421303656598
1972-05-01,5.19287833827893
1972-06-01,0.141043723554309
1972-07-01,-3.23943661971832
1972-08-01,0.291120815138297
1972-09-01,-5.95065312046442
1972-10-01,12.5
1972-11-01,3.01783264746225
1972-12-01,8.25565912117179
1973-01-01,-8.24108241082412
1973-02-01,-0.670241286863265
1973-03-01,0.944669365722018
1973-04-01,-5.88235294117647
1973-05-01,-1.98863636363636
1973-06-01,-1.01449275362317
1973-07-01,2.04978038067349
1973-08-01,3.73027259684362
1973-09-01,-2.76625172890733
1973-10-01,0.426742532005669
1973-11-01,-1.8413597733711
1973-12-01,-7.64790764790765
1974-01-01,-15.0
1974-02-01,7.53676470588235
1974-03-01,5.47008547008546
1974-04-01,-2.59319286871961
1974-05-01,-1.66389351081531
1974-06-01,6.09137055837564
1974-07-01,-2.71132376395535
1974-08-01,1.31147540983605
1974-09-01,4.6925566343042
1974-10-01,-11.9010819165379
1974-11-01,-1.22807017543859
1974-12-01,-1.42095914742453
1975-01-01,12.2522522522522
1975-02-01,-1.28410914927767
1975-03-01,-6.34146341463414
1975-04-01,-1.04166666666667
1975-05-01,-2.10526315789474
1975-06-01,10.0358422939068
1975-07-01,3.25732899022802
1975-08-01,-0.788643533123022
1975-09-01,8.10810810810811
1975-10-01,-11.1764705882353
1975-11-01,2.48344370860927
1975-12-01,4.68497576736675
1976-01-01,1.5432098765432
1976-02-01,-6.68693009118542
1976-03-01,5.04885993485342
1976-04-01,4.03100775193799
1976-05-01,3.12965722801788
1976-06-01,-6.93641618497106
1976-07-01,4.03726708074533
1976-08-01,-2.68656716417909
1976-09-01,-3.68098159509203
1976-10-01,9.55414012738852
1976-11-01,8.72093023255816
1976-12-01,0.935828877005341
1977-01-01,-13.7748344370861
1977-02-01,11.0599078341014
1977-03-01,-8.71369294605808
1977-04-01,2.27272727272727
1977-05-01,6.51851851851854
1977-06-01,-8.76216968011128
1977-07-01,15.0914634146341
1977-08-01,-10.1986754966887
1977-09-01,1.32743362831856
1977-10-01,2.76564774381366
1977-11-01,-1.27478753541075
1977-12-01,13.9167862266858
1978-01-01,-12.4685138539043
1978-02-01,-3.59712230215827
1978-03-01,3.73134328358208
1978-04-01,6.33093525179858
1978-05-01,-12.4492557510149
1978-06-01,13.6012364760433
1978-07-01,-2.85714285714285
1978-08-01,0.980392156862739
1978-09-01,7.62829403606103
1978-10-01,-10.0515463917526
1978-11-01,0.286532951289413
1978-12-01,-1.00000000000001
1979-01-01,7.93650793650793
1979-02-01,-2.94117647058825
1979-03-01,7.30027548209369
1979-04-01,9.62772785622591
1979-05-01,2.45901639344263
1979-06-01,8.11428571428569
1979-07-01,-24.1014799154334
1979-08-01,-0.696378830083559
1979-09-01,1.82328190743337
1979-10-01,4.13223140495868
1979-11-01,5.02645502645506
1979-12-01,-5.16372795969774
1980-01-01,-1.85922974767595
1980-02-01,0.676589986468194
1980-03-01,4.30107526881718
1980-04-01,-15.2061855670103
1980-05-01,3.03951367781155
1980-06-01,4.57227138643068
1980-07-01,-3.52609308885753
1980-08-01,-5.99415204678364
1980-09-01,8.08709175738725
1980-10-01,-6.33093525179858
1980-11-01,-0.153609831029194
1980-12-01,-0.615384615384616
1981-01-01,1.23839009287929
1981-02-01,-1.07033639143732
1981-03-01,-0.772797527047906
1981-04-01,6.85358255451711
1981-05-01,-1.89504373177841
1981-06-01,-5.34918276374442
1981-07-01,5.02354788069073
1981-08-01,-11.6591928251121
1981-09-01,6.76818950930626
1981-10-01,3.96196513470681
1981-11-01,0.152439024390252
1981-12-01,-3.34855403348556
1982-01-01,-6.92913385826772
1982-02-01,14.0439932318105
1982-03-01,6.52818991097922
1982-04-01,-1.39275766016713
1982-05-01,-5.64971751412427
1982-06-01,-2.39520958083834
1982-07-01,9.3558282208589
1982-08-01,-1.26227208976156
1982-09-01,-6.39204545454545
1982-10-01,15.7814871016692
1982-11-01,-3.66972477064219
1982-12-01,3.8095238095238
1983-01-01,3.5386631716907
1983-02-01,-10.7594936708861
1983-03-01,7.23404255319146
1983-04-01,-1.05820105820103
1983-05-01,0.802139037433169
1983-06-01,-0.265251989389934
1983-07-01,2.12765957446807
1983-08-01,5.078125
1983-09-01,-10.6567534076828
1983-10-01,10.124826629681
1983-11-01,-2.26700251889171
1983-12-01,3.22164948453608
1984-01-01,1.24843945068666
1984-02-01,-1.84956843403208
1984-03-01,-9.1708542713568
1984-04-01,7.60719225449519
1984-05-01,-0.51413881748072
1984-06-01,-2.45478036175714
1984-07-01,-7.15231788079472
1984-08-01,-6.2767475035663
1984-09-01,21.1567732115677
1984-10-01,-5.77889447236183
1984-11-01,0.13333333333334
1984-12-01,-4.66045272969374
1985-01-01,4.60893854748606
