"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"11","            Equipment",36.0,5.2,-12.4,10.4,2.9,-2.9,9.1,-5.6,13.7,2.6,2.6,-14.6,11.9,3.8,-2.1,11.4,7.8,12.6,18.2,15.4,-1.0,6.1,8.3,-1.8,0.8,12.7,18.5,2.1,-10.5,6.1,15.5,15.1,8.2,-4.4,3.7,-6.3,4.6,19.4,5.5,1.1,0.4,6.6,5.3,-2.1,-4.6,5.9,12.7,12.3,12.1,9.5,11.1,13.1,12.5,9.7,-4.3,-5.3,4.4,8.6,10.4,9.6,4.0,-4.8,-21.2,20.2,13.4,11.0,4.7,6.7,3.1,-1.5,6.1,7.4
"12","            Intellectual property products",0.1,-2.4,-1.9,8.3,-1.7,24.8,20.8,5.3,8.5,16.6,3.6,4.6,8.7,6.1,11.0,4.7,9.9,4.5,12.7,13.2,7.7,7.5,5.4,-0.1,0.4,7.0,5.0,2.9,0.9,10.8,6.6,7.1,11.7,5.0,10.9,6.2,7.9,13.7,9.0,7.0,3.9,7.1,11.7,8.4,6.4,5.8,4.2,3.9,7.1,11.2,13.1,11.0,13.0,9.5,1.0,-0.8,3.8,4.9,7.4,5.8,6.3,3.8,-0.5,2.7,6.2,5.0,5.4,4.3,3.7,7.5,4.6,7.5
"13","        Residential",28.1,19.4,-7.4,36.4,-16.1,-1.6,3.7,8.4,16.1,-7.9,-5.9,1.1,25.1,-6.8,0.4,9.6,11.7,6.0,-2.6,-8.4,-2.6,13.5,3.1,-5.2,26.6,17.4,-0.6,-19.6,-12.1,22.1,20.5,6.7,-3.7,-20.9,-8.2,-18.1,42.0,14.8,2.3,12.4,2.0,-0.9,-3.2,-8.5,-8.9,13.8,8.2,9.0,-3.4,8.2,2.4,8.6,6.3,0.7,0.9,6.1,9.1,10.0,6.6,-7.5,-18.7,-24.2,-21.7,-3.1,-0.1,13.0,12.4,3.9,10.1,6.5,3.3,-0.3
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"16","    Exports",14.0,-21.2,-0.9,-12.5,22.5,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.4,0.5,5.1,7.1,11.8,2.8,6.9,2.3,7.9,4.9,10.7,1.7,7.8,18.8,7.9,-0.6,4.4,2.4,10.6,9.9,10.8,1.2,-7.7,-2.6,8.2,3.3,7.7,10.9,16.2,11.6,8.8,6.6,6.9,3.3,8.8,10.3,8.2,11.9,2.3,5.0,8.3,-5.8,-1.7,2.2,9.7,7.1,9.3,8.7,5.7,-8.4,12.1,7.1,3.4,3.6,4.3,0.6,-0.1,3.0,4.0
"17","        Goods",15.0,-22.6,-0.6,-13.6,21.8,-5.1,-6.8,5.7,10.5,17.3,7.9,-15.2,-0.7,23.4,0.5,4.5,7.9,13.9,1.0,7.5,0.5,8.1,5.2,11.2,-0.1,10.9,24.5,8.6,-2.1,5.1,1.9,10.4,10.6,12.3,-0.6,-8.5,-3.3,7.1,3.5,5.4,12.2,17.8,11.4,8.6,6.7,7.5,3.2,9.6,11.6,8.9,14.5,2.2,4.2,9.9,-6.3,-3.3,2.9,8.8,7.7,9.9,7.0,5.8,-11.9,15.0,7.1,3.8,3.2,4.6,-0.3,0.3,3.3,4.7
"18","        Services",8.7,-12.7,-2.6,-6.4,26.4,-0.3,-6.4,1.3,11.4,13.1,12.5,-6.3,54.7,1.6,0.7,6.9,4.9,5.5,8.7,5.2,8.0,7.4,3.9,9.0,7.3,-0.4,1.7,5.4,5.9,1.1,4.5,11.2,7.1,4.2,9.7,-4.4,-0.2,11.8,2.8,14.4,7.6,11.9,12.0,9.5,6.4,5.4,3.3,7.0,6.8,6.3,5.3,2.8,7.1,4.3,-4.3,2.4,0.4,11.9,5.9,8.0,13.0,5.3,-0.3,6.3,7.3,2.4,4.5,3.6,2.4,-0.9,2.5,2.6
"19","    Imports",-5.1,16.7,-3.5,18.2,3.9,8.8,9.4,-4.9,12.1,8.1,4.2,4.8,10.5,1.3,-0.7,11.4,2.7,5.3,10.6,14.9,7.3,14.9,5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.6,10.9,8.7,1.7,-6.7,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7.0,8.6,11.9,8.0,8.7,13.5,11.7,11.3,12.9,-2.8,3.6,4.9,11.4,6.5,6.6,2.5,-2.2,-13.1,13.1,5.6,2.7,1.5,5.1,5.5,1.9,4.6,4.5
"20","        Goods",-4.0,14.5,-3.9,22.2,-2.0,2.0,5.8,-7.7,11.7,8.9,2.9,2.8,17.4,-1.6,-0.2,14.8,4.1,6.6,14.1,15.8,5.3,20.7,5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9.0,1.7,-7.4,2.0,-2.5,13.6,24.2,6.3,10.2,4.7,4.1,4.3,2.9,0.5,9.4,10.0,13.4,9.0,9.4,14.4,11.8,12.9,13.0,-3.4,3.7,5.8,11.4,7.0,6.2,2.1,-3.4,-15.3,15.4,6.1,2.6,1.8,5.6,5.8,1.4,4.6,4.8
"21","        Services",-8.0,23.4,-2.4,6.4,27.2,30.4,18.2,1.1,12.9,6.5,6.9,8.6,-2.0,7.8,-1.7,4.7,-0.1,2.6,2.9,12.7,12.2,1.8,6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5.0,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3.0,5.2,8.7,10.9,3.5,12.5,0.3,3.5,0.4,11.2,3.9,8.8,4.9,3.9,-2.2,3.6,3.2,3.1,0.5,2.6,4.0,4.2,4.4,3.3
"22","Government consumption expenditures and gross investment",-15.2,5.6,10.7,0.4,36.7,19.8,6.8,-6.4,-3.2,0.2,4.6,3.4,2.5,0.6,5.4,6.5,2.4,2.4,3.2,8.7,7.9,3.4,0.1,-2.1,-1.9,-0.5,-0.3,2.2,2.2,0.5,1.2,2.9,1.8,1.8,1.0,1.8,3.7,3.5,6.7,5.4,2.9,1.2,2.8,3.2,1.2,0.5,-0.8,0.1,0.5,0.9,1.6,2.4,3.3,1.8,3.7,4.5,2.1,1.5,0.8,1.6,1.8,2.5,3.5,0.0,-3.1,-2.1,-2.4,-0.9,1.9,1.4,-0.1,1.5
"23","    Federal",-25.2,5.3,8.2,-4.5,63.2,28.4,7.6,-12.1,-8.0,-1.3,3.9,0.5,2.0,-1.6,4.9,9.0,0.2,-0.4,0.7,10.6,10.1,1.5,-2.5,-6.2,-6.4,-3.2,-3.5,0.6,0.5,0.1,2.1,2.4,2.2,4.2,4.5,3.6,6.3,3.2,7.7,5.8,3.7,-1.5,1.6,2.1,0.1,-1.6,-3.5,-3.6,-2.7,-1.2,-0.8,-0.9,1.9,0.3,3.8,7.4,6.5,4.3,2.0,2.4,2.0,6.3,6.1,4.1,-2.6,-1.9,-5.5,-2.6,0.0,0.4,0.7,2.6
"24","        National defense",-31.2,-1.2,3.5,-0.7,87.1,30.7,6.1,-13.2,-8.5,-0.5,4.5,0.0,-2.7,-0.8,5.1,6.7,-2.2,-3.1,-1.4,12.9,12.5,1.6,-4.2,-8.2,-10.2,-6.9,-5.1,-1.0,-1.0,-0.6,1.0,0.6,2.5,3.6,6.2,7.0,6.9,5.0,8.5,6.9,4.9,-0.5,-0.3,0.3,-0.9,-4.6,-5.1,-4.9,-4.0,-1.6,-2.8,-2.1,1.4,-0.9,3.3,7.5,8.2,5.7,2.3,1.6,2.8,6.9,5.7,2.9,-2.1,-3.4,-6.7,-4.2,-2.0,-0.6,0.7,3.4
"25","        Nondefense",17.0,35.2,23.9,-14.9,-14.7,12.3,18.9,-4.6,-5.0,-6.7,0.1,3.9,33.0,-5.9,4.2,20.5,10.9,10.4,7.9,3.5,1.9,1.3,3.9,1.0,5.5,7.2,0.3,4.5,4.0,1.7,4.6,5.9,1.6,5.4,1.1,-3.6,4.7,-1.4,5.7,3.1,0.2,-4.3,7.2,7.3,2.5,5.9,0.0,-0.9,0.0,-0.5,2.8,1.2,2.8,2.3,4.7,7.3,3.8,2.1,1.5,3.7,0.4,5.1,6.8,6.2,-3.4,0.9,-3.5,-0.1,3.1,1.9,0.8,1.5
"26","    State and local",13.5,6.0,14.9,8.1,0.8,1.6,4.9,8.6,7.2,3.2,5.9,8.4,3.4,4.3,6.1,2.9,5.8,6.7,6.6,6.2,5.0,6.0,3.5,2.8,3.1,2.2,2.8,3.6,3.7,0.8,0.4,3.3,1.5,-0.2,-2.1,0.1,1.3,3.9,5.7,5.0,2.2,3.8,4.0,4.1,2.2,2.1,1.3,2.8,2.7,2.3,3.2,4.4,4.0,2.7,3.7,2.9,-0.3,-0.1,0.0,1.1,1.7,0.2,1.9,-2.7,-3.5,-2.2,-0.3,0.1,3.0,2.0,-0.5,0.8
"","Addendum:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","    Gross domestic product, current dollars",9.7,10.0,-0.7,10.0,15.7,5.9,6.0,0.3,8.9,5.6,5.5,1.5,8.4,4.0,3.7,7.4,5.6,7.4,8.4,9.6,5.7,9.4,8.2,5.5,8.5,9.8,11.4,8.4,9.0,11.2,11.1,13.0,11.7,8.8,12.2,4.3,8.7,11.1,7.5,5.5,6.0,7.9,7.7,5.7,3.3,5.9,5.2,6.3,4.8,5.7,6.2,5.7,6.3,6.5,3.2,3.4,4.8,6.6,6.7,6.0,4.6,1.8,-1.8,3.8,3.7,4.2,3.6,4.4,4.0,2.7,4.2,5.2
